fish,downloaded_ts,json_generated_ts,description,audio_generated_ts
blue whale,2026-07-18 19:23:34,2026-07-20 18:15:00,"The largest animal ever known to have lived, longer than a basketball court and heavier than 30 elephants, feeding almost entirely on tiny shrimp-like krill. Its heart is the size of a small car and its low-frequency calls travel hundreds of miles underwater; despite the name it is a mammal, not a fish.",2026-07-22 15:53:54
shark,2026-07-18 19:23:35,2026-07-20 18:15:00,"A cartilaginous fish whose skeleton is made of flexible cartilage rather than bone, with multiple rows of teeth that are continuously replaced through life. Sharks sense the faint electric fields of prey through pores called ampullae of Lorenzini and predate the dinosaurs by millions of years.",2026-07-22 15:53:55
salmon,2026-07-18 19:23:36,2026-07-20 18:15:00,"A migratory fish born in freshwater rivers that journeys to the ocean and, years later, returns to the exact stream of its birth to spawn, navigating by smell and Earth's magnetic field. Many species die shortly after spawning, feeding the whole river ecosystem.",2026-07-22 15:53:55
tuna,2026-07-18 19:23:37,2026-07-20 18:15:00,"A powerful, warm-blooded open-ocean fish built like a torpedo, capable of bursts over 40 mph and lifelong nonstop swimming to force water over its gills. Bluefin tuna are among the most valuable fish in the world, prized for sushi.",2026-07-22 15:53:56
trout,2026-07-18 19:23:38,2026-07-20 18:15:00,"A cold-water relative of salmon found in clear streams and lakes, whose skin color and spotting shift to match its surroundings. Trout are sensitive to pollution, making their presence a sign of healthy water.",2026-07-22 15:53:56
catfish,2026-07-18 19:23:39,2026-07-20 18:15:00,"A bottom-dwelling fish named for the whisker-like barbels around its mouth, which are packed with taste buds it uses to find food in murky water. A catfish's whole body is covered in taste receptors, effectively making it a swimming tongue.",2026-07-22 15:53:57
goldfish,2026-07-18 19:23:40,2026-07-20 18:15:00,"A domesticated carp bred in China over a thousand years ago, now the world's most popular aquarium fish. Contrary to the myth, goldfish have months-long memories and can be trained to recognize shapes and sounds.",2026-07-22 15:53:57
clownfish,2026-07-18 19:23:41,2026-07-20 18:15:00,"A small reef fish immune to the stinging tentacles of sea anemones, which it lives among for protection while defending the anemone in return. All clownfish are born male, and the dominant one changes sex to become the group's breeding female.",2026-07-22 15:53:58
swordfish,2026-07-18 19:23:43,2026-07-20 18:15:00,"A large predatory fish that wields a long, flat bill to slash through schools of prey, and specialized muscles that warm its eyes and brain for sharper vision in cold depths. Swordfish are among the fastest swimmers in the sea.",2026-07-22 15:53:59
marlin,2026-07-18 19:23:44,2026-07-20 18:15:00,"A massive billfish and one of the ocean's fastest predators, using its spear-like bill to stun fast-moving prey. Blue marlin can exceed 1,000 pounds and are a legendary prize for big-game anglers.",2026-07-22 15:53:59
