birds,downloaded_ts,json_generated_ts,description,audio_generated_ts
chicken,2026-07-18 19:21:44,2026-07-21 15:30:34,"The world's most numerous bird, descended from the wild jungle fowl of Southeast Asia. Chickens have a strict social 'pecking order,' can recognize over 100 individual faces, and communicate with more than 20 distinct calls.",2026-07-22 15:52:59
duck,2026-07-18 19:21:46,2026-07-21 15:30:37,"A waterbird with waterproof feathers kept oiled by a gland near the tail, and webbed feet with no nerves or blood vessels so they don't feel the cold. Ducklings imprint on the first moving thing they see, usually their mother.",2026-07-22 15:53:00
owl,2026-07-18 19:21:46,2026-07-21 15:30:38,"A silent-flying nocturnal raptor whose fringed feathers muffle sound and whose asymmetrical ears pinpoint prey by hearing alone. An owl cannot move its fixed eyes, so it rotates its head up to 270 degrees to look around.",2026-07-22 15:53:00
penguin,2026-07-18 19:21:47,2026-07-21 15:30:41,A flightless seabird of the Southern Hemisphere whose wings evolved into flippers for 'flying' underwater after fish. Penguins huddle by the thousands for warmth and many species mate with the same partner across seasons.,2026-07-22 15:53:01
flamingo,2026-07-20 12:32:45,2026-07-21 15:31:23,"A tall wading bird that feeds head-down, filtering tiny algae and shrimp from shallow water with a specially shaped bill. Its pink color comes entirely from pigments in that food, and flamingos often stand on one leg to conserve body heat.",2026-07-22 15:53:11
peacock,2026-07-20 12:32:46,2026-07-21 15:31:26,"The male of the peafowl species, famous for a shimmering train of iridescent 'eye' feathers it fans and rattles to court females. The colors come from microscopic crystal-like structures that bend light rather than from pigment.",2026-07-22 15:53:11
eagle,2026-07-22 16:46:28,2026-07-22 16:47:50,"A powerful bird of prey with eyesight several times sharper than a human's, letting it spot prey from over a mile away. Eagles build the largest nests of any bird, some growing to weigh over a ton after years of reuse.",2026-07-22 16:55:07
hawk,2026-07-22 16:46:29,2026-07-22 16:47:52,"A sharp-eyed daytime hunter that soars on broad wings, scanning the ground for small mammals and other birds. Hawks can spot a mouse from nearly a mile up and dive at speeds that make them among the fastest hunters in the sky.",2026-07-22 16:55:07
falcon,2026-07-22 16:46:30,2026-07-22 16:47:56,"A streamlined raptor built for speed, with pointed wings that let it change direction in an instant while chasing prey mid-air. The peregrine falcon, the fastest animal on Earth, can dive at over 240 mph to strike other birds.",2026-07-22 16:55:08
robin,2026-07-22 16:46:31,2026-07-22 16:47:58,"A familiar backyard songbird with a warm orange-red breast, often seen tugging earthworms from the ground at dawn. Robins can sense the Earth's magnetic field, which helps guide their long seasonal migrations.",2026-07-22 16:55:08
sparrow,2026-07-22 16:46:32,2026-07-22 16:48:01,"A small, adaptable songbird found on nearly every continent, thriving in cities as easily as in open fields. Sparrows bathe in dust as well as water, fluffing dirt through their feathers to keep parasites away.",2026-07-22 16:55:09
cardinal,2026-07-22 16:46:33,2026-07-22 16:48:03,"A brilliant red songbird whose males use their color to attract mates and defend territory, while females wear softer brown tones for camouflage on the nest. Cardinals are one of the few female songbirds that sing, often duetting with their mate.",2026-07-22 16:55:10
blue jay,2026-07-22 16:46:35,2026-07-22 16:48:07,"A bold, intelligent songbird known for its bright blue crest and loud, varied calls, including an uncanny impression of hawks to scare off rivals. Blue jays cache thousands of acorns each fall and forget many of them, accidentally planting new oak trees.",2026-07-22 16:55:10
crow,2026-07-22 16:46:36,2026-07-22 16:48:11,"A highly intelligent black bird that can recognize individual human faces and remember them for years. Crows make and use simple tools, and some have been observed solving multi-step puzzles for food.",2026-07-22 16:55:11
raven,2026-07-22 16:46:36,2026-07-22 16:48:15,"A large, glossy black bird closely related to the crow, known across cultures and mythology for its intelligence and deep, croaking call. Ravens can mimic human speech and other animal sounds, and they've been seen sliding down snowy roofs seemingly just for fun.",2026-07-22 16:55:11
hummingbird,2026-07-22 16:46:38,2026-07-22 16:48:19,"A tiny, jewel-colored bird whose wings beat up to 80 times per second, letting it hover in place and even fly backward. Hummingbirds have the fastest metabolism of any animal and must eat roughly every ten minutes while awake to survive.",2026-07-22 16:55:12
woodpecker,2026-07-22 16:46:40,2026-07-22 16:48:22,"A bird built to drum on tree trunks at up to 20 times a second, using a shock-absorbing skull and a long, barbed tongue to pull out hidden insects. Woodpeckers also drum to communicate, and their old nesting holes later shelter owls, squirrels, and other animals.",2026-07-22 16:55:12
parrot,2026-07-22 16:46:41,2026-07-22 16:48:26,"A colorful, highly intelligent bird capable of mimicking human speech and solving problems that stump many mammals. Parrots can live 60 years or more, form lifelong pair bonds, and some species use tools to crack open tough nuts.",2026-07-22 16:55:13
macaw,2026-07-22 16:46:42,2026-07-22 16:48:28,"A large, vividly colored parrot native to Central and South American rainforests, known for its loud calls and powerful curved beak. Macaws mate for life and are sometimes seen eating riverbank clay, which may help neutralize toxins in their diet.",2026-07-22 16:55:14
cockatoo,2026-07-22 16:46:43,2026-07-22 16:48:31,"A crested parrot known for raising its expressive head feathers when excited or alarmed, and for forming close, decades-long bonds with its flock or owner. Cockatoos are skilled problem-solvers that have even been filmed inventing tools to reach food.",2026-07-22 16:55:14
toucan,2026-07-22 16:46:44,2026-07-22 16:48:33,"A tropical bird famous for its enormous, colorful bill, which is mostly hollow and surprisingly lightweight, made of a spongy bone-like material. Toucans use their long bill to reach fruit at the end of thin branches and to help regulate their body heat.",2026-07-22 16:55:15
swan,2026-07-22 16:46:45,2026-07-22 16:48:36,"A large, graceful waterbird known for its long curved neck and pure white feathers, though some species are black. Swans mate for life, can be fiercely protective of their nests, and cygnets often ride on a parent's back to rest and stay warm.",2026-07-22 16:55:15
goose,2026-07-22 16:46:46,2026-07-22 16:48:39,"A large, loud waterbird that flies in a distinctive V-formation during migration, taking turns at the front to save energy as a flock. Geese mate for life and are famous for their strong homing instinct and loud honking warning calls.",2026-07-22 16:55:16
pelican,2026-07-22 16:46:47,2026-07-22 16:48:42,"A large waterbird with an enormous throat pouch that can scoop up gallons of water and fish in a single plunge before draining out the water. Pelicans sometimes fish cooperatively, herding schools of fish into the shallows together.",2026-07-22 16:55:16
seagull,2026-07-22 16:46:48,2026-07-22 16:48:47,"A coastal bird found near oceans, rivers, and cities alike, famous for its opportunistic appetite and boldness around people. Gulls can drink both fresh and salt water thanks to special glands above their eyes that filter out excess salt.",2026-07-22 16:55:17
albatross,2026-07-22 16:46:50,2026-07-22 16:55:00,"A giant seabird with the longest wingspan of any living bird, letting it glide over the ocean for hours without a single flap. Albatrosses can live over 60 years and spend most of their lives airborne, only landing to breed.",2026-07-22 16:55:18
ostrich,2026-07-22 16:46:51,2026-07-22 16:48:55,"The largest and heaviest living bird, unable to fly but able to sprint faster than a racehorse on powerful long legs. Ostriches lay the largest eggs of any bird alive today, and a single kick from one can be dangerous even to a lion.",2026-07-22 16:55:18
emu,2026-07-22 16:46:52,2026-07-22 16:49:00,"Australia's largest bird, a flightless runner that can sprint nearly 30 mph on long, powerful legs. Uniquely among birds, it's the male emu that incubates the eggs and raises the chicks alone.",2026-07-22 16:55:19
kiwi,2026-07-22 16:46:53,2026-07-22 16:49:04,"A small, flightless New Zealand bird with nostrils at the tip of its long beak, an unusual trait that lets it sniff out worms and insects underground. Kiwis lay eggs that can weigh up to a quarter of the mother's body weight, among the largest of any bird relative to size.",2026-07-22 16:55:19
cassowary,2026-07-22 16:46:54,2026-07-22 16:49:07,"A large, flightless rainforest bird with a tall bony helmet called a casque and powerful legs tipped with dagger-like claws, making it one of the most dangerous birds alive. Cassowaries help their rainforest ecosystem by eating fallen fruit whole and spreading the seeds widely in their droppings.",2026-07-22 16:55:20
stork,2026-07-22 16:46:55,2026-07-22 16:49:10,"A tall, long-legged wading bird known for building enormous stick nests on rooftops and poles that families reuse and enlarge for generations. Storks are largely silent birds that communicate by loudly clattering their long bills together.",2026-07-22 16:55:20
crane,2026-07-22 16:46:56,2026-07-22 16:49:14,"A tall, elegant wading bird known for elaborate dancing displays, complete with bowing, leaping, and wing-flapping, used to strengthen pair bonds. Cranes are among the oldest living bird groups, with fossils similar to today's species dating back millions of years.",2026-07-22 16:55:21
heron,2026-07-22 16:46:57,2026-07-22 16:49:17,"A patient wading bird that stands motionless in shallow water for long stretches before striking prey with a lightning-fast stab of its spear-like bill. Herons often fold their neck into an S-shape while flying, unlike most long-necked birds, which fly with necks outstretched.",2026-07-22 16:55:22
pigeon,2026-07-22 16:46:59,2026-07-22 16:49:31,"A stocky city-dwelling bird descended from the wild rock dove, prized for thousands of years for its extraordinary ability to find its way home from hundreds of miles away. Pigeons can recognize themselves in a mirror and were once used to carry emergency messages across battlefields.",2026-07-22 16:55:22
dove,2026-07-22 16:47:00,2026-07-22 16:49:34,"A gentle, soft-cooing bird closely related to the pigeon and widely recognized as a symbol of peace across many cultures. Doves produce a special 'crop milk' in their throat to feed their chicks, a trait shared by very few birds.",2026-07-22 16:55:23
turkey,2026-07-22 16:47:01,2026-07-22 16:49:38,"A large ground-dwelling bird native to North America, with males fanning colorful tail feathers and gobbling loudly to attract mates. Wild turkeys can run up to 25 mph and burst into short, powerful flight to escape danger, despite their bulk.",2026-07-22 16:55:23
quail,2026-07-22 16:47:02,2026-07-22 16:49:41,"A small, round, ground-dwelling bird that prefers running through underbrush to flying, bursting upward in a startling flush only when truly threatened. Quail chicks can leave the nest and start feeding themselves within hours of hatching.",2026-07-22 16:55:24
pheasant,2026-07-22 16:47:03,2026-07-22 16:49:43,"A long-tailed ground bird in which males display brilliantly colored plumage to attract mates, while females stay camouflaged in muted browns for safety on the nest. Pheasants can burst into fast, whirring flight but prefer running from danger when they can.",2026-07-22 16:55:24
rooster,2026-07-22 16:47:05,2026-07-22 16:49:46,"The adult male chicken, easily recognized by his tall red comb, sweeping tail feathers, and famous crow that greets the dawn. Roosters actually have an internal body clock and will crow at any time of day, not only at sunrise, to announce territory.",2026-07-22 16:55:25
vulture,2026-07-22 16:47:06,2026-07-22 16:49:49,"A large scavenger bird with an incredible sense of smell or sight for finding carrion, playing a vital role in cleaning up ecosystems and stopping disease from spreading. A vulture's bald head isn't a flaw, it stays cleaner while the bird feeds deep inside carcasses.",2026-07-22 16:55:26
condor,2026-07-22 16:47:08,2026-07-22 16:49:51,"One of the largest flying birds in the world, an enormous scavenger that can soar for hours on rising warm air without flapping its wings. Condors can live 60 years or more and don't reach breeding age until they're around six years old.",2026-07-22 16:55:26
