dinosaur,downloaded_ts,json_generated_ts,description,audio_generated_ts
tyrannosaurus rex,2026-07-19 15:33:58,2026-07-20 16:10:00,"One of the largest land predators ever, with a bone-crushing bite estimated at over 12,000 pounds of force and banana-sized serrated teeth. Its tiny two-fingered arms remain a puzzle, but its keen sense of smell and forward-facing eyes made it a formidable hunter of Late Cretaceous North America.",2026-07-22 15:53:32
velociraptor,2026-07-19 15:34:00,2026-07-20 16:10:00,"A turkey-sized, feathered predator from Cretaceous Mongolia, far smaller than films portray, that killed with a large sickle-shaped claw on each foot. A famous fossil preserves one locked in combat with a Protoceratops, buried mid-fight by a collapsing dune.",2026-07-22 15:53:33
triceratops,2026-07-19 15:34:02,2026-07-20 16:10:00,"A massive horned herbivore with three facial horns and a broad bony frill, using its parrot-like beak and rows of shearing teeth to crop tough plants. Its skull could reach nearly a third of its body length, among the largest of any land animal.",2026-07-22 15:53:33
stegosaurus,2026-07-19 15:34:03,2026-07-20 16:10:00,"A plant-eater instantly recognized by the double row of tall plates along its back and the spiked tail, nicknamed the 'thagomizer,' used for defense. Despite its bus-sized body, its brain was only about the size of a walnut.",2026-07-22 15:53:34
brachiosaurus,2026-07-19 15:34:05,2026-07-20 16:10:00,"A giant long-necked sauropod that, unlike most, had longer front legs, raising its head like a living crane to browse treetops. Its nostrils sat high on its skull, and it may have weighed as much as a dozen elephants.",2026-07-22 15:53:34
diplodocus,2026-07-19 15:34:08,2026-07-21 15:33:20,"One of the longest dinosaurs known, stretching about 85 feet with much of that length in an enormous neck and whip-like tail it may have cracked to ward off attackers. Peg-like teeth at the front of its mouth stripped leaves from branches.",2026-07-22 15:53:35
spinosaurus,2026-07-19 15:34:09,2026-07-21 15:33:22,"A sail-backed predator larger than T. rex and the first dinosaur known to be semi-aquatic, with a crocodile-like snout and paddle tail for hunting fish. The tall spines along its back supported a striking sail of skin.",2026-07-22 15:53:35
ankylosaurus,2026-07-19 15:34:09,,"A heavily armored, tank-like herbivore covered in bony plates and studs, with a massive club at the end of its tail that could shatter the bones of an attacker. Even its eyelids were armored with bone.",2026-07-22 15:53:36
allosaurus,2026-07-19 15:34:10,,"A powerful Jurassic apex predator with a large head, saw-edged teeth, and a gaping jaw it may have used like a hatchet to strike prey. It was the most common large carnivore of its time in North America.",2026-07-22 15:53:36
pterodactyl,2026-07-19 15:34:13,2026-07-21 15:33:24,"A flying reptile (technically Pterodactylus), not a dinosaur, that soared on membranous wings stretched over an elongated fourth finger. It was among the first pterosaurs discovered and had a long beak lined with fine teeth.",2026-07-22 15:53:37
brontosaurus,2026-07-19 15:34:14,2026-07-21 15:33:26,"A huge long-necked sauropod whose name means 'thunder lizard,' once thought to be the same as Apatosaurus but now recognized as its own genus. It carried its long neck and tail as counterbalances over a massive, pillar-legged body.",2026-07-22 15:53:37
iguanodon,2026-07-19 15:34:14,,"A large plant-eater among the first dinosaurs ever scientifically named, notable for a conical spike on each thumb, originally misplaced on its nose by early scientists. It could walk on two legs or four and had a toothless, cropping beak.",2026-07-22 15:53:38
parasaurolophus,2026-07-19 15:34:17,,"A duck-billed herbivore crowned with a long, hollow, backward-curving crest that worked like a resonating horn, likely producing deep trumpeting calls. The tubes inside the crest connected to its nasal passages.",2026-07-22 15:53:39
