nature,downloaded_ts,json_generated_ts,description,audio_generated_ts
mountain,2026-07-27 08:48:13,2026-07-27 08:54:51,"A landmass that rises sharply from its surroundings, formed over millions of years by colliding tectonic plates pushing rock skyward. Mount Everest, the tallest peak above sea level, grows about 4 millimeters higher every year as the Indian and Eurasian plates continue to collide.",2026-07-27 08:58:06
volcano,2026-07-27 08:48:14,2026-07-27 08:54:58,"An opening in the Earth's crust that releases molten rock, ash, and gases from deep underground, often building a cone-shaped mountain around itself. There are more than 1,500 potentially active volcanoes on land, and lava can reach temperatures over 1,000 degrees Celsius.",2026-07-27 08:58:07
waterfall,2026-07-27 08:48:15,2026-07-27 08:55:01,"A place where a river or stream drops abruptly over a cliff or ledge, carved out over time as softer rock erodes faster than the hard rock above it. Angel Falls in Venezuela is the world's tallest, with water plunging almost 1,000 meters, turning to mist before it even reaches the bottom.",2026-07-27 08:58:07
glacier,2026-07-27 08:48:16,2026-07-27 08:55:08,"A massive, slow-moving river of densely packed ice and snow that forms over centuries where snowfall exceeds melting. Glaciers hold about 69 percent of the world's fresh water, and some move only a few centimeters a day while others surge tens of meters daily.",2026-07-27 08:58:08
iceberg,2026-07-27 08:48:17,2026-07-27 08:55:13,"A large chunk of freshwater ice that has broken off, or 'calved,' from a glacier or ice shelf and drifts freely in open water. Only about one-tenth of an iceberg shows above the surface, which is why the phrase 'tip of the iceberg' describes a small visible part of a much bigger whole.",2026-07-27 08:58:08
desert,2026-07-27 08:48:18,2026-07-27 08:55:17,"A vast, dry landscape that receives less than 250 millimeters of rain a year, ranging from scorching sand dunes to frozen polar plains. Antarctica is technically the world's largest desert, and the Sahara can swing from over 50 degrees Celsius by day to below freezing at night.",2026-07-27 08:58:09
rainforest,2026-07-27 08:48:19,2026-07-27 08:55:20,"A dense, warm, and extremely wet forest that receives at least 2,000 millimeters of rain annually and hosts more species than any other land habitat. The Amazon rainforest alone is home to an estimated 10 percent of all known species on Earth and produces a huge share of the planet's oxygen.",2026-07-27 08:58:10
canyon,2026-07-27 08:48:20,2026-07-27 08:55:23,"A deep, narrow valley with steep sides, carved slowly over millions of years as a river cuts through layers of rock. The Grand Canyon in Arizona is over 1,800 meters deep in places and exposes rock layers nearly 2 billion years old.",2026-07-27 08:58:10
river,2026-07-27 08:48:21,2026-07-27 08:55:26,"A natural, flowing body of freshwater that travels from higher ground to a lake, sea, or ocean, shaping the land it passes through. The Nile and the Amazon compete for the title of the world's longest river, each stretching more than 6,400 kilometers.",2026-07-27 08:58:11
lake,2026-07-27 08:48:23,2026-07-27 08:55:29,"A large body of water enclosed by land, usually formed by glaciers, tectonic activity, or volcanic craters rather than connecting directly to the ocean. Lake Baikal in Russia is the world's deepest and oldest lake, holding roughly 20 percent of all the planet's unfrozen fresh water.",2026-07-27 08:58:11
ocean,2026-07-27 08:48:23,2026-07-27 08:55:31,"A vast, continuous body of salt water that covers about 71 percent of Earth's surface and is divided into five named basins. Scientists have mapped only a small fraction of the ocean floor in detail, meaning more of the Moon's surface has been charted than the bottom of our own seas.",2026-07-27 08:58:12
