insects,downloaded_ts,json_generated_ts,description,audio_generated_ts
honeybee,2026-07-23 09:48:16,2026-07-23 10:09:02,"A social insect that lives in colonies of tens of thousands and communicates food locations through a symbolic ""waggle dance."" A single hive can produce over 60 pounds of honey a year, and its workers visit roughly 2 million flowers to make just one pound.",2026-07-23 10:23:46
bumblebee,2026-07-23 09:48:17,2026-07-23 10:09:04,"A large, fuzzy bee whose body is technically too heavy for its wingspan by the old rules of aerodynamics, yet it flies by beating its wings in a rapid figure-eight. Bumblebees can shiver their flight muscles to warm up, letting them forage on cold mornings when other bees stay grounded.",2026-07-23 10:23:46
carpenter bee,2026-07-23 09:48:19,2026-07-23 10:09:07,"A solitary bee that bores perfectly round tunnels into untreated wood to lay its eggs rather than building a hive. Despite its intimidating size and buzz, the male carpenter bee has no stinger at all and can only bluff.",2026-07-23 10:23:47
wasp,2026-07-23 09:48:21,2026-07-23 10:09:10,"A slender-waisted insect that, unlike bees, can sting repeatedly without dying and often hunts other insects to feed its larvae. Paper wasps chew wood fibers into a pulp to build their papery, hexagonal-celled nests from scratch.",2026-07-23 10:23:47
hornet,2026-07-23 09:48:22,2026-07-23 10:09:15,"The largest of the social wasps, built with a bulkier body and a sting powerful enough to require multiple hits before subduing large prey. A hornet nest can house thousands of workers who ventilate it by fanning their wings in unison to control internal temperature.",2026-07-23 10:23:48
yellowjacket,2026-07-23 09:48:24,,"A black-and-yellow wasp that nests underground or in wall cavities and turns aggressively scavenging in late summer as its colony's food needs spike. Unlike honeybees, a yellowjacket can sting multiple times and even chew through fabric to reach skin.",2026-07-23 10:23:49
tarantula hawk,2026-07-23 09:48:25,,"A giant, iridescent blue-black wasp that hunts tarantulas by paralyzing them with a sting ranked among the most painful of any insect. After stinging, the female drags the still-living spider into a burrow as living food for a single larva.",2026-07-23 10:23:49
ant,2026-07-23 09:48:27,2026-07-23 10:09:21,A highly social insect that lives in colonies organized around a queen and can lift objects many times its own body weight. Ants leave chemical trails of pheromones so the rest of the colony can retrace the shortest path to food.,2026-07-23 10:23:50
termite,2026-07-23 09:48:28,2026-07-23 10:09:24,"A pale, soft-bodied insect that lives in colonies and digests wood with the help of microbes in its gut, since it cannot break down cellulose alone. Some termite mounds rise over 20 feet tall and include built-in chimneys that passively regulate temperature and airflow.",2026-07-23 10:23:50
ladybug,2026-07-23 09:48:30,2026-07-23 10:09:25,"A round, brightly spotted beetle whose colors warn predators that it tastes bitter, thanks to toxins it can ooze from its leg joints when threatened. A single ladybug can eat more than 5,000 aphids over its lifetime, making it a favorite of gardeners.",2026-07-23 10:23:51
firefly,2026-07-23 09:48:31,2026-07-23 10:09:28,"A soft-bodied beetle that produces cold light from its abdomen through a chemical reaction to attract mates in the dark. Each species flashes its own signature pattern, and some females mimic another species' flash just to lure and eat its males.",2026-07-23 10:23:51
dragonfly,2026-07-23 09:48:32,2026-07-23 10:09:30,"An ancient, agile flier with two pairs of wings it can move independently, letting it hover, fly backward, and change direction instantly. Dragonflies catch prey in midair with a strike rate over 90 percent, making them among the most efficient hunters in the animal kingdom.",2026-07-23 10:23:52
damselfly,2026-07-23 09:48:35,2026-07-23 10:09:32,"A slender relative of the dragonfly that folds its wings flat along its body at rest, unlike its broader-winged cousin. Damselfly nymphs breathe through feathery gills at the tip of their abdomen and can live underwater for up to two years before emerging.",2026-07-23 10:23:53
grasshopper,2026-07-23 09:48:36,2026-07-23 10:09:34,"A jumping insect with powerful hind legs that can launch it twenty times its own body length in a single leap. Some grasshoppers produce sound by rubbing a leg against a wing, a technique called stridulation, to attract mates.",2026-07-23 10:23:53
cricket,2026-07-23 09:48:37,2026-07-23 10:09:36,"A nocturnal insect best known for the chirping song males make by rubbing specialized ridges on their wings together. The speed of a cricket's chirp rises and falls with temperature, close enough that counting chirps can estimate the air temperature in Fahrenheit.",2026-07-23 10:23:54
praying mantis,2026-07-23 09:48:39,2026-07-23 10:09:38,"A stealthy predator named for its folded front legs, which snap out to seize prey in a fraction of a second. Its head can rotate nearly 180 degrees, giving it a near-complete field of view while staying perfectly still.",2026-07-23 10:23:54
cockroach,2026-07-23 09:48:40,2026-07-23 10:09:40,"A flattened, fast-scuttling insect that can squeeze through gaps a fraction of an inch wide by compressing its exoskeleton. Some cockroaches can survive for weeks without a head, since they breathe through holes in their body segments rather than through their mouth.",2026-07-23 10:23:55
stick insect,2026-07-23 09:48:42,2026-07-23 10:09:42,"A master of camouflage whose slender body, mottled coloring, and slow swaying motion mimic a twig blowing in the breeze. If a predator grabs one of its legs, the insect can shed it and regrow a new one at its next molt.",2026-07-23 10:23:55
mosquito,2026-07-23 09:48:43,2026-07-23 10:09:44,"A small, buzzing fly whose females pierce skin with a needle-like mouthpart to drink blood needed to develop their eggs. Only females bite; males feed solely on nectar and never bother humans at all.",2026-07-23 10:23:56
housefly,2026-07-23 09:48:45,2026-07-23 10:09:46,"A common fly that tastes food through sensors on its feet before it ever reaches its mouth. It vomits digestive fluid onto solid food to liquefy it first, then sponges up the resulting liquid meal.",2026-07-23 10:23:56
horsefly,2026-07-23 09:48:46,,"A stout, fast-flying fly whose females deliver a sharp, blade-like bite to draw blood from livestock and other large mammals. Some species can reach nearly 90 miles per hour, among the fastest flight speeds recorded for any insect.",2026-07-23 10:23:57
beetle,2026-07-23 09:48:47,2026-07-23 10:09:50,"An insect with hardened, shell-like forewings that fold over and protect a delicate flight wing underneath. Beetles make up roughly one in every four described animal species on Earth, the most diverse order in the entire animal kingdom.",2026-07-23 10:23:58
weevil,2026-07-23 09:48:49,,"A small beetle with an elongated snout tipped by tiny chewing mouthparts, used to bore into seeds, nuts, and grain. Some weevils play dead and drop to the ground the instant they sense a disturbance, freezing until the danger passes.",2026-07-23 10:23:58
