flower,downloaded_ts,json_generated_ts,description,audio_generated_ts
rose,2026-07-21 14:23:50,2026-07-21 14:25:13,"A thorny-stemmed shrub prized for centuries as the classic symbol of love, cultivated into thousands of varieties and colors, each carrying its own meaning. Its petals and hips are used in perfumes, teas, and cooking, and a red rose remains the flower of romance.",2026-07-22 15:54:31
tulip,2026-07-21 14:23:51,2026-07-21 14:25:16,"A cup-shaped spring bulb whose bold, saturated colors made it so coveted in 1630s Holland that a single bulb could cost more than a house, sparking 'tulip mania,' history's first speculative bubble. Uniquely among cut flowers, tulips keep growing in the vase.",2026-07-22 15:54:31
sunflower,2026-07-21 14:23:53,2026-07-21 14:25:18,"A towering annual whose young flower heads track the sun across the sky, a movement called heliotropism, before settling to face east as they mature. Each 'flower' is actually thousands of tiny florets arranged in spirals, ripening into edible seeds.",2026-07-22 15:54:32
daisy,2026-07-21 14:23:54,2026-07-21 14:25:21,"A cheerful wildflower whose name comes from 'day's eye,' as its white-petaled bloom opens at dawn and closes at dusk. What looks like one flower is really two combined: a yellow center of tiny florets ringed by white petal-florets.",2026-07-22 15:54:32
lily,2026-07-21 14:23:56,2026-07-21 14:25:23,"An elegant bloom grown from bulbs, with large trumpet-shaped flowers and a strong fragrance, long associated with purity and often used at weddings and funerals. Its pollen stains readily and is highly toxic to cats.",2026-07-22 15:54:33
orchid,2026-07-21 14:23:57,2026-07-21 14:25:26,"One of the largest plant families on Earth, with over 25,000 wild species and intricate, often startlingly symmetrical blooms evolved to lure specific pollinators. The vanilla bean comes from an orchid, and some species can live for a century.",2026-07-22 15:54:34
daffodil,2026-07-21 14:23:59,2026-07-21 14:25:28,"A trumpet-centered spring bulb, also called the narcissus, that is one of the first flowers to bloom after winter and a symbol of renewal and hope. Every part of the plant is toxic, and it's the emblem of several cancer charities.",2026-07-22 15:54:34
marigold,2026-07-21 14:24:01,2026-07-21 14:25:31,"A hardy golden-orange annual with a pungent scent that gardeners plant to repel pests. Central to Mexico's Day of the Dead as the 'flower of the dead,' its petals are strung into garlands and used to guide spirits home.",2026-07-22 15:54:35
carnation,2026-07-21 14:24:03,2026-07-21 14:25:33,"A ruffled, clove-scented bloom that lasts remarkably long once cut, making it a florist staple in a wide range of dyed colors. It is the traditional flower of Mother's Day and a common boutonniere.",2026-07-22 15:54:35
hibiscus,2026-07-21 14:24:04,2026-07-21 14:25:36,"A tropical shrub bearing large, showy trumpet-shaped flowers that typically last just a single day. Its tart red calyces are brewed into a ruby, vitamin-C-rich tea drunk around the world, and it is the national flower of several nations.",2026-07-22 15:54:36
lotus,2026-07-21 14:24:06,2026-07-21 14:26:22,"An aquatic plant sacred across Asian cultures that roots in muddy pond bottoms yet raises immaculate blooms above the water, symbolizing purity and rebirth. Its leaves are so water-repellent that droplets bead and roll off, an effect scientists call the 'lotus effect.'",2026-07-22 15:54:36
iris,2026-07-21 14:24:07,2026-07-21 14:26:24,"A stately flower named for the Greek goddess of the rainbow, reflecting the huge range of colors it comes in, with distinctive upright petals and drooping 'falls.' Its rhizome yields orris root, a fixative used in perfume, and it is the fleur-de-lis of French heraldry.",2026-07-22 15:54:37
peony,2026-07-21 14:24:09,2026-07-21 14:26:27,"A lush, many-petaled perennial with enormous fragrant blooms that can live and flower for a hundred years. Long treasured in China as a symbol of prosperity and honor, its tight buds rely on ants that feed on their sweet nectar.",2026-07-22 15:54:38
chrysanthemum,2026-07-21 14:24:11,2026-07-21 14:26:29,"A densely petaled autumn bloom, called 'mums,' that comes in countless forms and is deeply revered in East Asia, where it symbolizes the Japanese imperial throne. In parts of Europe it is strictly a funeral flower.",2026-07-22 15:54:38
dahlia,2026-07-21 14:24:12,2026-07-21 14:26:32,"A tuberous plant native to Mexico, its national flower, prized for geometrically intricate blooms that range from tiny pompoms to dinner-plate size. Endlessly variable, dahlias come in nearly every color except true blue.",2026-07-22 15:54:39
poppy,2026-07-21 14:24:14,2026-07-21 14:26:34,"A delicate, papery-petaled flower that springs up on disturbed ground, famously carpeting the battlefields of World War I and becoming the enduring emblem of remembrance. Its seeds flavor breads, and one species is the source of opium.",2026-07-22 15:54:39
lavender,2026-07-21 14:24:15,2026-07-21 14:26:37,"A silvery-leaved Mediterranean herb with fragrant purple flower spikes long valued for its calming scent. Its essential oil is used in aromatherapy, soaps, and sleep aids, and its nectar makes a prized honey.",2026-07-22 15:54:40
jasmine,2026-07-21 14:24:17,2026-07-21 14:26:39,"A climbing shrub whose small white star-shaped flowers release an intense sweet perfume, especially at night. Its blossoms scent jasmine tea and fine perfumes, and it is a national flower of several countries.",2026-07-22 15:54:40
hydrangea,2026-07-21 14:24:18,2026-07-21 14:26:41,"A shrub bearing large rounded clusters of blooms that act as a living soil test: acidic soil turns the flowers blue, while alkaline soil makes them pink. A single bush can therefore change color from year to year.",2026-07-22 15:54:41
magnolia,2026-07-21 14:24:20,2026-07-21 14:26:43,"An ancient flowering tree so old it evolved before bees existed, with tough blooms originally pollinated by beetles. Its large, waxy, fragrant flowers appear in early spring, and the tree is emblematic of the American South.",2026-07-22 15:54:41
azalea,2026-07-21 14:24:22,2026-07-21 14:26:51,"A spring-flowering shrub, a type of rhododendron, that erupts in a dense mass of vivid blossoms. Beautiful but toxic, its nectar can taint honey, and it symbolizes the fleeting nature of beauty in some cultures.",2026-07-22 15:54:42
buttercup,2026-07-21 14:24:24,2026-07-21 14:26:54,"A small, glossy yellow wildflower whose petals have a mirror-like sheen that reflects light, the source of the childhood game of holding one under the chin. The shine comes from a special reflective cell layer, and the plant is toxic to grazing animals.",2026-07-22 15:54:43
violet,2026-07-21 14:24:25,2026-07-21 14:26:57,"A low-growing plant with small heart-shaped leaves and delicate purple-blue flowers, prized since antiquity for its sweet scent and used in perfumes and candied sweets. Curiously, its fragrance briefly numbs the sense of smell.",2026-07-22 15:54:43
pansy,2026-07-21 14:24:27,2026-07-21 14:27:00,"A cheerful cool-season flower with overlapping petals patterned like a little face, bred from wild violets. Its blooms are edible, and its name comes from the French 'pensée,' meaning thought.",2026-07-22 15:54:44
snapdragon,2026-07-21 14:24:29,2026-07-21 14:27:01,"A tall spike of pouched blossoms that snap open and shut like a dragon's mouth when gently squeezed, a favorite trick for children. Only strong pollinators like bumblebees can pry the flowers open, and the spent seed pods resemble tiny skulls.",2026-07-22 15:54:44
